time,Azimuth,Pitch,Roll,
3.656302,22.7,-41.7,3.8
3.661221,22.8,-41.7,3.8
3.667609,23,-41.8,3.8
3.673225,23.1,-41.8,3.8
3.676525,23.3,-41.9,3.8
3.685252,23.4,-42,3.8
3.687487,23.6,-42.1,3.7
3.691431,23.7,-42.2,3.7
3.696679,23.9,-42.4,3.7
3.701623,24,-42.5,3.6
3.707056,24.2,-42.7,3.6
3.711841,24.3,-42.9,3.5
3.719496,24.4,-43.1,3.4
3.723679,24.5,-43.2,3.3
3.727007,24.7,-43.4,3.3
3.734126,24.8,-43.4,2.7
3.736874,25,-43.6,2.7
3.742442,25.1,-43.8,2.6
3.752844,25.2,-44,2.6
3.753128,25.3,-44.1,2.5
3.757525,25.5,-44.3,2.5
3.767868,25.6,-44.5,2.5
3.768243,25.8,-44.7,2.5
3.772923,25.9,-44.9,2.5
3.77698,26.1,-45,2.5
3.78296,26.3,-45.2,2.6
3.786921,26.5,-45.4,2.6
3.792034,26.6,-45.5,2.6
3.798608,26.8,-45.7,2.7
3.801954,27,-45.8,2.7
3.807125,27.1,-45.9,2.7
3.811927,27.3,-46.1,2.7
3.817095,27.5,-46.2,2.7
3.822434,27.6,-46.3,2.7
3.827085,27.8,-46.4,2.7
3.837766,27.9,-46.5,2.7
3.838027,28.1,-46.6,2.7
3.842155,28.2,-46.6,2.7
3.851055,28.4,-46.7,2.7
3.853481,28.5,-46.7,2.8
3.857292,28.7,-46.8,2.8
3.862254,28.8,-46.8,2.8
3.870698,29,-46.8,2.8
3.872703,29.1,-46.7,2.9
3.877509,29.3,-46.7,2.9
3.885811,29.4,-46.7,2.9
3.887986,29.6,-46.7,3
3.892632,29.7,-46.6,3
3.897924,29.9,-46.6,3
3.903148,30,-46.6,3.1
3.90853,30.1,-46.6,3.1
3.912752,30.3,-46.6,3.1
3.91778,30.4,-46.6,3.2
3.922831,30.5,-46.6,3.2
3.927731,30.6,-46.6,3.2
3.933959,30.8,-46.6,3.2
3.938127,30.9,-46.6,3.2
3.94269,31,-46.6,3.2
3.948676,31.1,-46.6,3.1
3.953275,31.2,-46.6,3.1
3.957909,31.3,-46.6,3.1
3.962778,31.5,-46.6,3.1
3.970921,31.6,-46.6,3.1
3.973323,31.8,-46.6,3.1
3.978228,31.9,-46.6,3.1
3.982873,32.1,-46.7,3.1
3.988048,32.2,-46.7,3.1
3.993477,32.4,-46.7,3.1
3.999322,32.6,-46.8,3.1
4.003265,32.7,-46.8,3.1
4.008061,32.9,-46.9,3.1
4.013502,33.1,-46.9,3.1
4.017982,33.2,-47,3
4.023459,33.4,-47,3
4.028359,33.5,-47,3
4.0338,33.7,-47.1,2.9
4.038623,33.8,-47.1,2.9
4.043443,34,-47.1,2.9
4.05021,34.1,-47.1,2.8
4.053718,34.2,-47.1,2.8
4.058392,34.4,-47.1,2.8
4.063542,34.5,-47.1,2.7
4.068755,34.6,-47.1,2.6
4.073773,34.8,-47.1,2.6
4.07846,34.9,-47.1,2.5
4.083508,35,-47,2.5
4.089824,35.1,-46.9,2.4
4.094331,35.3,-46.9,2.3
4.100447,35.4,-46.8,2.2
4.103723,35.5,-46.7,2.1
4.108792,35.6,-46.6,2.1
4.11672,35.8,-46.5,2
4.118974,35.9,-46.4,1.9
4.12428,36.1,-46.3,1.8
4.129032,36.3,-46.2,1.7
4.134114,36.4,-46.1,1.6
4.139141,36.6,-46,1.5
4.144611,36.8,-45.9,1.4
4.14965,36.9,-45.8,1.3
4.154469,37.1,-45.7,1.3
4.15956,37.2,-45.6,1.2
4.163931,37.4,-45.5,1.1
4.168923,37.5,-45.4,1
4.1743,37.7,-45.2,0.9
4.179062,37.8,-45.1,0.9
4.185133,38,-45,0.8
4.189362,38.1,-44.8,0.8
4.194404,38.3,-44.7,0.7
4.200122,38.4,-44.6,0.7
4.204288,38.6,-44.5,0.6
4.20971,38.7,-44.4,0.6
4.217287,38.9,-44.3,0.6
4.219533,39,-44.2,0.5
4.224343,39.1,-44.1,0.5
4.229547,39.3,-44,0.4
4.23468,39.4,-43.9,0.4
4.239575,39.5,-43.8,0.3
4.244404,39.6,-43.8,0.2
4.250015,39.8,-43.7,0.1
4.254615,39.9,-43.7,0
4.259581,40.1,-43.7,0
4.267261,40.2,-43.7,-0.1
4.271796,40.4,-43.7,-0.2
4.274579,40.5,-43.7,-0.3
4.279631,40.7,-43.8,-0.3
4.285546,40.8,-43.8,-0.4
4.290229,41,-43.8,-0.5
4.295151,41.2,-43.8,-0.5
4.300245,41.3,-43.8,-0.6
4.305602,41.5,-43.8,-0.7
4.309975,41.6,-43.8,-0.7
4.31641,41.8,-43.9,-0.8
4.320249,41.9,-43.9,-0.9
4.326147,42.1,-43.9,-1
4.330011,42.2,-43.9,-1.1
4.335087,42.3,-43.9,-1.2
4.341331,42.5,-44,-1.4
4.345648,42.6,-44,-1.5
4.349952,42.8,-44.1,-1.6
4.35498,42.9,-44.1,-1.8
4.359834,43.1,-44.1,-1.9
4.365041,43.2,-44.2,-2
4.369817,43.4,-44.2,-2.1
4.374982,43.5,-44.3,-2.3
4.379875,43.7,-44.3,-2.4
4.384986,43.8,-44.3,-2.5
4.39103,44,-44.3,-2.6
4.397077,44.1,-44.2,-2.7
4.400165,44.3,-44.2,-2.8
4.405911,44.5,-44.2,-2.9
4.410533,44.6,-44.2,-2.9
4.415125,44.8,-44.1,-3
4.420327,45,-44.1,-3
4.425908,45.1,-44,-3
4.431108,45.3,-44,-3.1
4.435692,45.5,-43.9,-3.1
4.441077,45.7,-43.9,-3.1
4.445421,45.9,-43.8,-3.1
4.450567,46,-43.7,-3.1
4.458906,46.2,-43.6,-3.1
4.461282,46.4,-43.5,-3.1
4.46543,46.6,-43.5,-3.1
4.470619,46.8,-43.4,-3.1
4.476439,47,-43.3,-3.1
4.48069,47.1,-43.2,-3.1
4.486135,47.3,-43.1,-3
4.49116,47.5,-43.1,-3
4.495869,47.7,-43,-3
4.50074,47.9,-42.9,-3
4.507205,48,-42.8,-3
4.511381,48.2,-42.8,-3
4.515739,48.4,-42.7,-3
4.52069,48.5,-42.6,-3
4.525912,48.7,-42.6,-3
4.533335,48.9,-42.5,-3
4.535851,49,-42.5,-3
4.541383,49.2,-42.5,-3
4.54597,49.3,-42.4,-3
4.550877,49.5,-42.4,-3
4.558465,49.7,-42.4,-2.9
4.561009,49.8,-42.4,-2.9
4.566007,50,-42.3,-2.9
4.571084,50.2,-42.3,-2.8
4.576681,50.4,-42.3,-2.7
4.580941,50.5,-42.2,-2.6
4.586118,50.7,-42.2,-2.6
4.591513,50.9,-42.1,-2.5
4.596176,51.1,-42.1,-2.4
4.601332,51.3,-42,-2.4
4.607366,51.4,-42,-2.3
4.611208,51.6,-41.9,-2.3
4.615967,51.8,-41.9,-2.3
4.621086,51.9,-41.9,-2.2
4.626542,52,-41.9,-2.2
4.631324,52.2,-41.9,-2.2
4.636567,52.3,-41.9,-2.2
4.641347,52.5,-42,-2.2
4.646318,52.6,-42,-2.2
4.651819,52.7,-42,-2.3
4.656325,52.9,-42.1,-2.3
4.661416,53,-42.1,-2.3
4.666412,53.1,-42.2,-2.3
4.671691,53.2,-42.2,-2.3
4.676337,53.3,-42.2,-2.3
4.682236,53.4,-42.3,-2.4
4.68665,53.5,-42.3,-2.4
4.691729,53.6,-42.3,-2.4
4.698987,53.7,-42.3,-2.5
4.70181,53.8,-42.3,-2.5
4.706801,53.9,-42.3,-2.6
4.716802,53.9,-42.3,-2.6
4.711833,54,-42.3,-2.6
4.721854,54,-42.3,-2.7
4.728325,54.2,-42.3,-2.7
4.732052,54.3,-42.3,-2.7
4.736601,54.4,-42.3,-2.8
4.741812,54.5,-42.3,-2.8
4.748814,54.6,-42.3,-2.8
4.75217,54.7,-42.3,-2.8
4.756951,54.8,-42.3,-2.8
4.762193,54.9,-42.3,-2.8
4.76696,55.1,-42.3,-2.9
4.772055,55.2,-42.4,-2.9
4.778023,55.3,-42.4,-2.8
4.783043,55.4,-42.4,-2.8
4.787511,55.5,-42.4,-2.8
4.792127,55.6,-42.5,-2.9
4.800823,55.7,-42.5,-2.9
4.802525,55.9,-42.5,-2.9
4.807374,56,-42.5,-2.9
4.812562,56.1,-42.5,-2.9
4.817366,56.3,-42.5,-2.9
4.822347,56.4,-42.5,-2.9
4.827478,56.6,-42.5,-2.9
4.832689,56.8,-42.5,-2.9
4.838827,56.9,-42.5,-3
4.842965,57,-42.6,-3
4.850871,57.2,-42.6,-3
4.852706,57.4,-42.6,-3
4.857607,57.5,-42.6,-3
4.86259,57.7,-42.7,-3
4.868313,57.8,-42.8,-3
4.873052,58,-42.8,-3
4.884169,58,-42.9,-3
4.884378,58.1,-43,-3.1
4.887917,58.3,-43.2,-3.1
4.892555,58.4,-43.3,-3.1
4.902904,58.5,-43.4,-3.1
4.904961,58.7,-43.5,-3.2
4.907958,58.8,-43.7,-3.2
4.912747,59,-43.8,-3.3
4.918035,59.1,-44,-3.3
4.922887,59.2,-44.1,-3.4
4.928152,59.4,-44.3,-3.5
4.93556,59.5,-44.5,-3.6
4.938362,59.6,-44.7,-3.6
4.943067,59.8,-44.9,-3.7
4.955059,59.9,-45.1,-3.8
4.955409,60.1,-45.3,-3.9
4.95797,60.2,-45.5,-3.9
4.963089,60.3,-45.7,-4
4.967967,60.5,-45.9,-4.1
4.97817,60.5,-46.3,-4.2
4.973465,60.6,-46.1,-4.2
4.986748,60.7,-46.5,-4.3
4.988816,60.8,-46.6,-4.4
4.993521,61,-46.8,-4.4
5.000437,61.1,-46.9,-4.5
5.003129,61.2,-47.1,-4.6
5.008045,61.4,-47.2,-4.6
5.016712,61.5,-47.3,-4.7
5.018554,61.6,-47.4,-4.8
5.023137,61.8,-47.5,-4.8
5.035068,62,-47.6,-4.8
5.035252,62.1,-47.7,-4.9
5.038155,62.3,-47.8,-4.9
5.043341,62.5,-47.9,-4.9
5.048545,62.6,-47.9,-4.9
5.05406,62.8,-48,-4.9
5.058691,63,-48,-4.9
5.063564,63.2,-48.1,-4.9
5.069412,63.3,-48.1,-4.9
5.073783,63.5,-48.2,-4.9
5.083449,63.6,-48.2,-4.8
5.083609,63.8,-48.2,-4.8
5.088841,64,-48.2,-4.8
5.09424,64.2,-48.2,-4.8
5.102323,64.2,-48.3,-4.8
5.103688,64.4,-48.3,-4.8
5.108586,64.6,-48.3,-4.8
5.116429,64.7,-48.3,-4.8
5.119675,64.9,-48.4,-4.8
5.124325,65,-48.4,-4.8
5.128932,65.2,-48.4,-4.7
5.134459,65.4,-48.4,-4.7
5.138669,65.5,-48.4,-4.7
5.144313,65.7,-48.4,-4.7
5.151996,65.8,-48.4,-4.7
5.154372,66,-48.4,-4.7
5.159059,66.1,-48.4,-4.7
5.165805,66.2,-48.4,-4.7
5.16898,66.4,-48.3,-4.7
5.17425,66.5,-48.3,-4.7
5.180847,66.6,-48.3,-4.7
5.184431,66.8,-48.2,-4.7
5.189108,66.9,-48.2,-4.7
5.194618,67,-48.2,-4.6
5.203482,67.2,-48.2,-4.6
5.20447,67.3,-48.2,-4.6
5.215522,67.3,-48.2,-4.7
5.209375,67.4,-48.2,-4.7
5.219624,67.4,-48.2,-4.7
5.224306,67.6,-48.2,-4.7
5.22967,67.7,-48.3,-4.7
5.234408,67.8,-48.3,-4.7
5.239526,67.9,-48.3,-4.8
5.244649,68.1,-48.3,-4.8
5.249705,68.2,-48.3,-4.8
5.254858,68.3,-48.3,-4.9
5.259335,68.5,-48.3,-4.9
5.266017,68.6,-48.3,-4.9
5.26971,68.8,-48.3,-4.9
5.274537,68.9,-48.4,-4.9
5.285931,69.1,-48.4,-5
5.286292,69.2,-48.4,-5
5.289636,69.4,-48.4,-5
5.294888,69.5,-48.4,-5.1
5.300229,69.7,-48.4,-5.1
5.304901,69.9,-48.5,-5.1
5.309867,70,-48.5,-5.2
5.316283,70.2,-48.5,-5.2
5.319827,70.3,-48.6,-5.3
5.325025,70.5,-48.6,-5.4
5.332875,70.7,-48.6,-5.4
5.335227,70.8,-48.6,-5.5
5.339969,71,-48.6,-5.5
5.345007,71.2,-48.6,-5.5
5.350056,71.4,-48.6,-5.6
5.355409,71.4,-48.6,-5.6
5.360337,71.6,-48.5,-5.6
5.366285,71.8,-48.5,-5.7
5.370128,72,-48.5,-5.7
5.375032,72.2,-48.4,-5.7
5.384934,72.4,-48.3,-5.8
5.385262,72.7,-48.3,-5.8
5.390234,72.9,-48.2,-5.8
5.3951,73.1,-48.1,-5.8
5.400142,73.3,-48,-5.9
5.405396,73.6,-47.9,-5.9
5.41113,73.8,-47.8,-5.9
5.416357,74,-47.7,-6
5.420853,74.2,-47.7,-6
5.425633,74.4,-47.6,-6
5.433421,74.7,-47.5,-6.1
5.435622,74.9,-47.4,-6.1
5.440428,75.1,-47.3,-6.2
5.445697,75.3,-47.2,-6.2
5.450574,75.5,-47.1,-6.3
5.455522,75.6,-47,-6.3
5.460482,75.8,-47,-6.4
5.468264,76,-46.9,-6.4
5.4709,76.2,-46.7,-6.5
5.47584,76.3,-46.6,-6.5
5.483022,76.5,-46.5,-6.6
5.485863,76.7,-46.4,-6.6
5.490776,76.9,-46.3,-6.7
5.495727,77.1,-46.2,-6.7
5.500973,77.2,-46.1,-6.8
5.505856,77.4,-45.9,-6.9
5.510906,77.6,-45.8,-6.9
5.517851,77.8,-45.7,-7
5.520963,78,-45.6,-7.1
5.525897,78.1,-45.5,-7.1
5.532228,78.3,-45.5,-7.2
5.538205,78.5,-45.4,-7.2
5.541163,78.7,-45.3,-7.2
5.546287,78.8,-45.2,-7.3
5.551895,79,-45.2,-7.3
5.556604,79.2,-45.1,-7.4
5.561189,79.3,-45.1,-7.4
5.56633,79.5,-45,-7.4
5.571517,79.7,-45,-7.5
5.578286,79.8,-45,-7.5
5.582985,79.9,-44.9,-7.6
5.586162,80.1,-44.9,-7.6
5.591032,80.2,-44.9,-7.6
5.596095,80.3,-44.9,-7.7
5.601467,80.4,-44.9,-7.7
5.606263,80.6,-44.9,-7.7
5.611519,80.7,-44.9,-7.8
5.617429,80.9,-44.9,-7.8
5.621534,81.1,-44.9,-7.8
5.626596,81.3,-44.9,-7.8
5.631721,81.5,-44.8,-7.8
5.637162,81.6,-44.8,-7.8
5.641573,81.8,-44.8,-7.8
5.648305,82,-44.8,-7.7
5.651562,82.2,-44.8,-7.7
5.656679,82.4,-44.7,-7.6
5.665291,82.6,-44.7,-7.6
5.666575,82.8,-44.6,-7.5
5.671767,83.1,-44.5,-7.5
5.676497,83.2,-44.5,-7.5
5.682765,83.5,-44.4,-7.4
5.686837,83.7,-44.3,-7.4
5.692121,84,-44.3,-7.3
5.698935,84.1,-44.3,-7.3
5.701895,84.4,-44.2,-7.2
5.706833,84.6,-44.2,-7.1
5.711823,84.9,-44.2,-7.1
5.717996,85,-44.2,-7.1
5.722217,85.3,-44.1,-7
5.726984,85.5,-44.1,-7
5.732659,85.7,-44.1,-7
5.737405,85.8,-44.1,-6.9
5.743215,86,-44.1,-6.9
5.749287,86.3,-44.1,-6.9
